plant_id,spp,nTreatment,temp,phoper,pfd,photo,cond,ci,,
cs4bhigh,cs,high,25,10,1200,8.207744044,0.158834224,285.7319037,,
cs4bhigh,cs,high,25,10,1000,8.369451778,0.156234024,282.1940917,,
cs4bhigh,cs,high,25,10,500,7.271483759,0.156283081,295.4484072,,
cs4bhigh,cs,high,25,10,200,5.108836794,0.159009635,323.4918183,,
cs4bhigh,cs,high,25,10,100,2.970728101,0.152148824,348.1177471,,
cs4bhigh,cs,high,25,10,75,1.974583637,0.131610723,357.1358126,, 
cs4bhigh,cs,high,25,10,50,1.291094359,0.117019454,365.0660122,,
cs4bhigh,cs,high,25,10,25,0.191722349,0.101839005,382.8123829,,
cs4bhigh,cs,high,25,10,0,-1.134709283,0.069217726,417.3927144,,
cs1bhigh,cs,high,25,10,1200,7.209630689,0.225318664,321.5409739,,
cs1bhigh,cs,high,25,10,1000,7.193246851,0.239015808,325.0539584,,
cs1bhigh,cs,high,25,10,500,6.333007079,0.250386134,334.7474558,,
cs1bhigh,cs,high,25,10,200,4.399740772,0.256016686,351.5759231,,
cs1bhigh,cs,high,25,10,100,2.587637221,0.253373347,365.9724103,,
cs1bhigh,cs,high,25,10,75,1.688166364,0.239464538,372.5014675,,
cs1bhigh,cs,high,25,10,50,0.996080476,0.227623624,377.9593063,,
cs1bhigh,cs,high,25,10,25,0.185090352,0.212223197,385.2768546,,
cs1bhigh,cs,high,25,10,0,-1.281686592,0.172148855,401.6290336,,
cs2ahigh,cs,high,25,10,1200,9.61610935,0.436159631,337.8883622,,
cs2ahigh,cs,high,25,10,1000,9.202687873,0.37650862,333.5286841,,
cs2ahigh,cs,high,25,10,500,7.248751845,0.34490339,341.3915389,,
cs2ahigh,cs,high,25,10,200,4.549145868,0.304555568,355.0509132,,
cs2ahigh,cs,high,25,10,100,2.580115575,0.284294754,367.8250208,,
cs2ahigh,cs,high,25,10,75,1.759079867,0.251352842,372.3157013,,
cs2ahigh,cs,high,25,10,50,0.827630807,0.232394931,379.4758871,,
cs2ahigh,cs,high,25,10,25,-0.132190412,0.216314325,388.2157215,,
cs2ahigh,cs,high,25,10,0,-1.137314985,0.206944214,398.4408557,,
cs3bhigh,cs,high,25,10,1200,8.488941004,0.399042619,339.4221195,,
cs3bhigh,cs,high,25,10,1000,8.307656998,0.381883741,338.6772326,,
cs3bhigh,cs,high,25,10,500,6.369962467,0.335223549,345.1859274,,
cs3bhigh,cs,high,25,10,200,4.238553146,0.303461757,356.6015969,,
cs3bhigh,cs,high,25,10,100,2.703445164,0.251918647,363.8612818,,
cs3bhigh,cs,high,25,10,75,1.982500832,0.235542075,368.9039985,,
cs3bhigh,cs,high,25,10,50,1.140323877,0.218501051,375.7131917,,
cs3bhigh,cs,high,25,10,25,0.279531543,0.200600323,383.820132,,
cs3bhigh,cs,high,25,10,0,-0.860115521,0.192655599,396.1176901,,
cs1high,cs,high,25,10,1200,7.045591391,0.103919585,268.0090278,,
cs1high,cs,high,25,10,1000,6.100852197,0.085005476,262.6939464,,
cs1high,cs,high,25,10,500,5.241063521,0.071249186,261.7175173,,
cs1high,cs,high,25,10,200,2.821468783,0.061542352,310.1964034,,
cs1high,cs,high,25,10,100,3.377087687,0.053113613,282.6861332,,
cs1high,cs,high,25,10,75,3.146667987,0.043965178,269.6147517,,
cs1high,cs,high,25,10,50,1.564003445,0.037371108,320.6355771,,
cs1high,cs,high,25,10,25,0.124406766,0.032280451,378.4442567,,
cs1high,cs,high,25,10,0,-0.239032062,0.027044568,398.8871849,,
cs2high,cs,high,25,10,1200,8.2007037,0.17526636,300.3015276,,
cs2high,cs,high,25,10,1000,7.369853384,0.152676087,299.2956914,,
cs2high,cs,high,25,10,500,6.534095827,0.131075449,296.564505,,
cs2high,cs,high,25,10,200,5.482702141,0.117407634,308.6524886,,
cs2high,cs,high,25,10,100,3.854552146,0.110921351,332.0907618,,
cs2high,cs,high,25,10,75,3.538837865,0.104941626,331.0289794,,
cs2high,cs,high,25,10,50,1.708956566,0.098904407,356.0568112,,
cs2high,cs,high,25,10,25,1.234003295,0.091927432,366.4063429,,
cs2high,cs,high,25,10,0,0.059995868,0.075405888,390.0018028,,
cs2clow,cs,low,25,10,1200,10.75989651,0.322765638,316.4820503,,
cs2clow,cs,low,25,10,1000,10.34755059,0.321081605,318.6065422,,
cs2clow,cs,low,25,10,500,8.385496124,0.312704463,330.0895634,,
cs2clow,cs,low,25,10,200,5.347376854,0.303189278,349.4106161,,
cs2clow,cs,low,25,10,100,3.07681568,0.282344352,363.7869028,,
cs2clow,cs,low,25,10,75,2.074737342,0.234593569,368.2656886,,
cs2clow,cs,low,25,10,50,1.473712872,0.195425389,371.1747151,,
cs2clow,cs,low,25,10,25,0.263247993,0.176331063,383.3475155,,
cs2clow,cs,low,25,10,0,-1.012508655,0.159839338,399.1275435,,
cs3alow,cs,low,25,10,1200,10.84944808,0.420165362,329.5772917,,
cs3alow,cs,low,25,10,1000,10.37561074,0.35044617,322.5556278,,
cs3alow,cs,low,25,10,500,8.43795178,0.30599278,327.5465635,,
cs3alow,cs,low,25,10,200,5.549691991,0.264189782,342.0098127,,
cs3alow,cs,low,25,10,100,3.237289324,0.225707142,356.1640864,,
cs3alow,cs,low,25,10,75,2.356230032,0.198101325,361.3567605,,
cs3alow,cs,low,25,10,50,1.495621499,0.187053397,369.5720121,,
cs3alow,cs,low,25,10,25,0.365579716,0.166870576,381.7278259,,
cs3alow,cs,low,25,10,0,-0.989916271,0.153762162,399.3162281,,
cs4clow,cs,low,25,10,1200,8.945112919,0.342229257,329.5512851,,
cs4clow,cs,low,25,10,1000,8.587099193,0.288313686,322.9341712,,
cs4clow,cs,low,25,10,500,6.764086023,0.274617916,333.9952729,,
cs4clow,cs,low,25,10,200,4.649243844,0.255131863,348.1421933,,
cs4clow,cs,low,25,10,100,2.6569968,0.222754069,361.8138583,,
cs4clow,cs,low,25,10,75,2.048570963,0.182891783,363.7154756,,
cs4clow,cs,low,25,10,50,1.220086613,0.164960567,371.7130393,,
cs4clow,cs,low,25,10,25,0.370416208,0.150209646,382.1140562,,
cs4clow,cs,low,25,10,0,-0.743830166,0.130955669,398.8742711,,
cs1blow,cs,low,25,10,1200,6.517316419,0.106624787,264.8061886,,
cs1blow,cs,low,25,10,1000,6.96890792,0.122225206,272.5588045,,
cs1blow,cs,low,25,10,500,6.259545973,0.131315914,290.3406502,,
cs1blow,cs,low,25,10,200,4.52605139,0.131750063,316.8045047,,
cs1blow,cs,low,25,10,100,3.019834459,0.127114533,338.0691265,,
cs1blow,cs,low,25,10,75,2.348388333,0.115430613,345.2352515,,
cs1blow,cs,low,25,10,50,1.431669152,0.098083665,356.8680764,,
cs1blow,cs,low,25,10,25,0.529136879,0.083706403,373.3668057,,
cs1blow,cs,low,25,10,0,-0.878088243,0.060920102,413.0289075,,
cs4amed,cs,med,25,10,1200,9.341950062,0.20439869,295.3853468,,
cs4amed,cs,med,25,10,1000,9.299552018,0.218946259,301.2943926,,
cs4amed,cs,med,25,10,500,7.776636912,0.226696754,317.4297104,,
cs4amed,cs,med,25,10,200,4.968053557,0.232496275,343.830463,,
cs4amed,cs,med,25,10,100,2.932215295,0.230129036,361.5375156,,
cs4amed,cs,med,25,10,75,2.060999196,0.22433903,368.9889498,,
cs4amed,cs,med,25,10,50,1.248864317,0.209392908,375.7322131,,
cs4amed,cs,med,25,10,25,0.297325425,0.176723027,384.5153734,,
cs4amed,cs,med,25,10,0,-0.973756881,0.143182661,401.2873532,,
cs2bmed,cs,med,25,10,1200,8.016374642,0.230623095,315.95594,,
cs2bmed,cs,med,25,10,1000,7.596357715,0.209787235,313.5778638,,
cs2bmed,cs,med,25,10,500,6.112104781,0.190097049,321.8724229,,
cs2bmed,cs,med,25,10,200,4.040324749,0.176509424,340.5868716,,
cs2bmed,cs,med,25,10,100,2.382513278,0.163309314,357.3183705,,
cs2bmed,cs,med,25,10,75,1.683699289,0.153464886,364.656922,,
cs2bmed,cs,med,25,10,50,1.061212607,0.145604523,372.0668577,,
cs2bmed,cs,med,25,10,25,0.098587213,0.142504176,385.1936284,,
cs2bmed,cs,med,25,10,0,-0.987082886,0.131385462,401.4354486,,
cs1cmed,cs,med,25,10,1200,9.344402247,0.255500523,310.4655903,,
cs1cmed,cs,med,25,10,1000,8.819031101,0.217026761,302.9412286,,
cs1cmed,cs,med,25,10,500,7.341250384,0.203149918,312.3492352,,
cs1cmed,cs,med,25,10,200,4.837382125,0.174678871,329.8096718,,
cs1cmed,cs,med,25,10,100,2.84587337,0.135338521,343.9595951,,
cs1cmed,cs,med,25,10,75,1.984965307,0.112270386,350.704651,,
cs1cmed,cs,med,25,10,50,1.178174153,0.09466429,361.3773438,,
cs1cmed,cs,med,25,10,25,0.391927742,0.089180874,377.628181,,
cs1cmed,cs,med,25,10,0,-0.804272227,0.063812749,411.2077352,,
cs3cmed,cs,med,25,10,1200,12.4720021,0.385006665,315.7786227,,
cs3cmed,cs,med,25,10,1000,12.02458195,0.351134873,312.5455697,,
cs3cmed,cs,med,25,10,500,9.577945229,0.30260229,318.5598498,,
cs3cmed,cs,med,25,10,200,6.170782005,0.272245345,338.1871633,,
cs3cmed,cs,med,25,10,100,3.661400653,0.213836827,350.7280175,,
cs3cmed,cs,med,25,10,75,2.623383656,0.168680724,354.4694654,,
cs3cmed,cs,med,25,10,50,1.690305935,0.1449106,362.6314385,,
cs3cmed,cs,med,25,10,25,0.610115361,0.111217136,375.5252194,,
csw2med,cs,med,25,10,1200,11.1493945,0.289887696,309.2804949,,
csw2med,cs,med,25,10,1000,11.16472859,0.291582198,309.7170896,,
csw2med,cs,med,25,10,500,8.909441324,0.270069009,322.2659584,,
csw2med,cs,med,25,10,200,6.572105305,0.254427645,337.6664681,,
csw2med,cs,med,25,10,100,3.23483368,0.248100031,363.3506555,,
csw2med,cs,med,25,10,75,1.952992805,0.234548919,372.9684926,,
csw2med,cs,med,25,10,50,1.71510402,0.215510758,373.9061453,,
csw2med,cs,med,25,10,25,0.268881398,0.190989433,386.4741142,,
csw2med,cs,med,25,10,0,-0.60023091,0.17064057,395.5673934,,
csw1med,cs,med,25,10,1200,6.920521365,0.177926032,314.6389555,,
csw1med,cs,med,25,10,1000,6.431462524,0.152871047,310.6901459,,
csw1med,cs,med,25,10,500,5.335979179,0.127956356,313.4557167,,
csw1med,cs,med,25,10,200,3.737629123,0.11071418,329.0801422,,
csw1med,cs,med,25,10,100,2.742935607,0.093635381,337.743421,,
csw1med,cs,med,25,10,75,2.096234546,0.082948415,345.2923663,,
csw1med,cs,med,25,10,50,1.844702783,0.070912787,344.6425562,,
csw1med,cs,med,25,10,25,0.521097595,0.06171151,374.372862,,
csw1med,cs,med,25,10,0,-0.128650609,0.054004916,392.4372049,,
cs4bhigh,cs,high,25,14,1200,10,0.277,312,,
cs4bhigh,cs,high,25,14,1000,9.49,0.242,306,,
cs4bhigh,cs,high,25,14,500,8.21,0.229,313,,
cs4bhigh,cs,high,25,14,200,5.67,0.213,332,,
cs4bhigh,cs,high,25,14,100,3.66,0.2,350,,
cs4bhigh,cs,high,25,14,75,2.62,0.181,357,,
cs4bhigh,cs,high,25,14,50,1.8,0.173,366,,
cs4bhigh,cs,high,25,14,25,0.543,0.156,380,,
cs4bhigh,cs,high,25,14,0,-1.09,0.119,404,,
cs2ahigh,cs,high,25,14,1200,9.83,0.18,270,,
cs2ahigh,cs,high,25,14,1000,9.85,0.177,269,,
cs2ahigh,cs,high,25,14,500,8.85,0.182,284,,
cs2ahigh,cs,high,25,14,200,6.5,0.182,311,,
cs2ahigh,cs,high,25,14,100,3.96,0.163,335,,
cs2ahigh,cs,high,25,14,75,3.21,0.148,342,,
cs2ahigh,cs,high,25,14,50,2.06,0.135,355,,
cs2ahigh,cs,high,25,14,25,0.665,0.124,375,,
cs2ahigh,cs,high,25,14,0,-1.06,0.0977,406,,
cs3bhigh,cs,high,25,14,1200,5.98,0.16,313,,
cs3bhigh,cs,high,25,14,1000,5.81,0.159,315,,
cs3bhigh,cs,high,25,14,500,5.18,0.157,322,,
cs3bhigh,cs,high,25,14,200,3.68,0.16,341,,
cs3bhigh,cs,high,25,14,100,2.45,0.163,357,,
cs3bhigh,cs,high,25,14,75,2.08,0.162,361,,
cs3bhigh,cs,high,25,14,50,1.4,0.163,369,,
cs3bhigh,cs,high,25,14,25,0.475,0.159,380,,
cs3bhigh,cs,high,25,14,0,-0.98,0.151,399,,
cs1bhigh,cs,high,25,14,1200,4.42,0.131,320,,
cs1bhigh,cs,high,25,14,1000,5.12,0.135,312,,
cs1bhigh,cs,high,25,14,500,5.44,0.153,317,,
cs1bhigh,cs,high,25,14,200,4.29,0.155,332,,
cs1bhigh,cs,high,25,14,100,2.79,0.151,350,,
cs1bhigh,cs,high,25,14,75,2.13,0.147,358,,
cs1bhigh,cs,high,25,14,50,1.41,0.144,367,,
cs1bhigh,cs,high,25,14,25,0.416,0.137,381,,
cs1bhigh,cs,high,25,14,0,-1.07,0.111,405,,
csw1high,cs,high,25,14,1200,5.021367775,0.097785688,300.2745657,,
csw1high,cs,high,25,14,1000,6.292704531,0.100214849,280.0664767,,
csw1high,cs,high,25,14,500,5.637384355,0.086920709,278.2124802,,
csw1high,cs,high,25,14,200,3.698192927,0.083166719,313.606146,,
csw1high,cs,high,25,14,100,2.216485263,0.082649789,344.0029059,,
csw1high,cs,high,25,14,75,1.338618268,0.076917904,360.4399393,,
csw1high,cs,high,25,14,50,1.601179518,0.071663722,352.0363471,,
csw1high,cs,high,25,14,25,4.266230594,0.055331767,261.0040938,,
csw1high,cs,high,25,14,0,-1.306579784,0.059757431,426.7255844,,
cswhigh,cs,high,25,14,1200,5.273821004,0.12350655,311.2915047,,
cswhigh,cs,high,25,14,1000,5.213901813,0.130875302,315.9789285,,
cswhigh,cs,high,25,14,500,4.869457628,0.119479869,315.6630109,,
cswhigh,cs,high,25,14,200,3.602366501,0.106878698,329.2010887,,
cswhigh,cs,high,25,14,100,1.921993559,0.100731356,355.1442635,,
cswhigh,cs,high,25,14,75,1.501035057,0.100821698,362.4239553,,
cswhigh,cs,high,25,14,50,1.086080091,0.09426064,368.5236824,,
cswhigh,cs,high,25,14,25,0.130918647,0.085813624,385.7242839,,
cswhigh,cs,high,25,14,0,-1.052852768,0.076458474,411.8175972,,
cs4clow,cs,low,25,14,1200,9.73,0.238,304,,
cs4clow,cs,low,25,14,1000,8.37,0.183,296,,
cs4clow,cs,low,25,14,500,7.43,0.185,307,,
cs4clow,cs,low,25,14,200,5.29,0.178,328,,
cs4clow,cs,low,25,14,100,3.35,0.158,345,,
cs4clow,cs,low,25,14,75,-0.175,-0.00288,293,,
cs4clow,cs,low,25,14,50,1.79,0.12,358,,
cs4clow,cs,low,25,14,25,0.6,0.0828,373,,
cs4clow,cs,low,25,14,0,-0.804,0.067,410,,
cs2clow,cs,low,25,14,1200,12.4,0.282,298,,
cs2clow,cs,low,25,14,1000,12.1,0.265,295,,
cs2clow,cs,low,25,14,500,10.8,0.269,307,,
cs2clow,cs,low,25,14,200,7.53,0.27,331,,
cs2clow,cs,low,25,14,100,4.89,0.265,351,,
cs2clow,cs,low,25,14,75,3.65,0.251,359,,
cs2clow,cs,low,25,14,50,2.41,0.237,368,,
cs2clow,cs,low,25,14,25,0.813,0.205,380,,
cs2clow,cs,low,25,14,0,-1.14,0.141,403,,
cs3alow,cs,low,25,14,1200,13.5,0.301,295,,
cs3alow,cs,low,25,14,1000,13.2,0.303,298,,
cs3alow,cs,low,25,14,500,10.9,0.298,311,,
cs3alow,cs,low,25,14,200,7.17,0.254,330,,
cs3alow,cs,low,25,14,100,4.33,0.226,349,,
cs3alow,cs,low,25,14,75,3.32,0.182,351,,
cs3alow,cs,low,25,14,50,-0.123,-0.00322,328,,
cs3alow,cs,low,25,14,25,0.977,0.14,374,,
cs3alow,cs,low,25,14,0,-1.1,0.0902,411,,
cs1blow,cs,low,25,14,1200,7.35,0.128,276,,
cs1blow,cs,low,25,14,1000,7.96,0.137,274,,
cs1blow,cs,low,25,14,500,7.26,0.138,284,,
cs1blow,cs,low,25,14,200,5.28,0.13,308,,
cs1blow,cs,low,25,14,100,3.38,0.125,334,,
cs1blow,cs,low,25,14,75,2.83,0.117,339,,
cs1blow,cs,low,25,14,50,1.68,0.0927,351,,
cs1blow,cs,low,25,14,25,0.401,0.0624,374,,
cs1blow,cs,low,25,14,0,-1.13,0.0444,434,,
csw2low,cs,low,25,14,1200,6.488646783,0.101133061,270.3932631,,
csw2low,cs,low,25,14,1000,6.605914958,0.101242563,270.0185627,,
csw2low,cs,low,25,14,500,5.568139824,0.096303385,283.6159205,,
csw2low,cs,low,25,14,200,3.773243945,0.091778096,312.7082519,,
csw2low,cs,low,25,14,100,2.144462391,0.086531487,340.8841405,,
csw2low,cs,low,25,14,75,2.040934,0.080398803,341.6378479,,
csw2low,cs,low,25,14,50,1.208913449,0.073480337,356.8021306,,
csw2low,cs,low,25,14,25,0.467377136,0.067327841,372.5221308,,
csw2low,cs,low,25,14,0,-0.547010056,0.058620925,399.5792489,,
csw3low,cs,low,25,14,1200,6.536266824,0.08176474,247.5597727,,
csw3low,cs,low,25,14,1000,6.67148745,0.082398285,245.4138988,,
csw3low,cs,low,25,14,500,5.895930864,0.075733229,251.5692226,,
csw3low,cs,low,25,14,200,4.316404362,0.07178083,281.9059339,,
csw3low,cs,low,25,14,100,2.870928569,0.070276591,314.4197777,,
csw3low,cs,low,25,14,75,2.273678575,0.069150501,327.6944461,,
csw3low,cs,low,25,14,50,1.677317291,0.06801672,341.4334828,,
csw3low,cs,low,25,14,25,0.611480802,0.067000799,367.3265608,,
csw3low,cs,low,25,14,0,-0.724078554,0.063435829,403.2664025,,
cs3cmed,cs,med,25,14,1200,10.4,0.274,308,,
cs3cmed,cs,med,25,14,1000,9.56,0.224,300,,
cs3cmed,cs,med,25,14,500,8.07,0.209,308,,
cs3cmed,cs,med,25,14,200,5.77,0.202,329,,
cs3cmed,cs,med,25,14,100,3.77,0.197,348,,
cs3cmed,cs,med,25,14,75,2.83,0.183,356,,
cs3cmed,cs,med,25,14,50,1.82,0.172,366,,
cs3cmed,cs,med,25,14,25,0.432,0.157,382,,
cs3cmed,cs,med,25,14,0,0.0496,-0.00273,412,,
cs2bmed,cs,med,25,14,1200,13.1,0.345,307,,
cs2bmed,cs,med,25,14,1000,12.4,0.309,303,,
cs2bmed,cs,med,25,14,500,9.96,0.281,314,,
cs2bmed,cs,med,25,14,200,6.48,0.26,336,,
cs2bmed,cs,med,25,14,100,3.94,0.235,353,,
cs2bmed,cs,med,25,14,75,2.77,0.215,361,,
cs2bmed,cs,med,25,14,50,1.83,0.189,368,,
cs2bmed,cs,med,25,14,25,0.444,0.15,382,,
cs2bmed,cs,med,25,14,0,-1.16,0.103,409,,
cs1cmed,cs,med,25,14,1200,7.05,0.125,283,,
cs1cmed,cs,med,25,14,1000,5.91,0.108,287,,
cs1cmed,cs,med,25,14,500,5.45,0.105,293,,
cs1cmed,cs,med,25,14,200,4.13,0.0991,312,,
cs1cmed,cs,med,25,14,100,2.74,0.0885,332,,
cs1cmed,cs,med,25,14,75,1.8,0.0713,342,,
cs1cmed,cs,med,25,14,50,-0.0886,-0.000983,246,,
cs1cmed,cs,med,25,14,25,0.571,0.0892,375,,
cs1cmed,cs,med,25,14,0,-0.881,0.0565,414,,
cs4amed,cs,med,25,14,1200,11.9,0.28,304,,
cs4amed,cs,med,25,14,1000,10.7,0.236,300,,
cs4amed,cs,med,25,14,500,9.34,0.219,307,,
cs4amed,cs,med,25,14,200,6.53,0.206,329,,
cs4amed,cs,med,25,14,100,3.99,0.187,348,,
cs4amed,cs,med,25,14,75,2.88,0.168,357,,
cs4amed,cs,med,25,14,50,2.02,0.15,364,,
cs4amed,cs,med,25,14,25,0.685,0.131,378,,
cs4amed,cs,med,25,14,0,-0.712,0.112,398,,
csw2med,cs,med,25,14,1200,11.46616375,0.180651337,269.2125661,,
csw2med,cs,med,25,14,1000,7.156855594,0.185120686,315.4372241,,
csw2med,cs,med,25,14,500,4.74424318,0.170759239,337.311661,,
csw2med,cs,med,25,14,200,1.417094377,0.167137601,373.5098464,,
csw2med,cs,med,25,14,100,-0.798833531,0.163481233,398.4902289,,
csw2med,cs,med,25,14,75,2.146122638,0.157058811,364.2736006,,
csw2med,cs,med,25,14,50,0.983997107,0.148440314,377.1364129,,
csw2med,cs,med,25,14,25,-3.55435254,0.146171894,433.6070608,,
csw2med,cs,med,25,14,0,0.610061981,0.127861631,380.8044505,,
csw6med,cs,med,25,14,1200,5.839577581,0.117886809,299.4964778,,
csw6med,cs,med,25,14,1000,6.553855792,0.108440583,281.2160299,,
csw6med,cs,med,25,14,500,2.402297483,0.107165092,348.7354315,,
csw6med,cs,med,25,14,200,3.882419236,0.093630975,316.5935008,,
csw6med,cs,med,25,14,100,2.498183451,0.092412128,341.9343947,,
csw6med,cs,med,25,14,75,2.167789423,0.089177207,346.6662725,,
csw6med,cs,med,25,14,50,1.285446836,0.080984143,361.4816893,,
csw6med,cs,med,25,14,25,1.844166648,0.067747507,342.6341234,,
csw6med,cs,med,25,14,0,-2.088919089,0.067566494,440.851098,,
csw1high,cs,high,32,10,1200,7.086915626,0.213907142,320.2772606,,
csw1high,cs,high,32,10,1000,6.739653404,0.166124051,308.9983245,,
csw1high,cs,high,32,10,500,5.20736423,0.129351868,312.8258822,,
csw1high,cs,high,32,10,200,3.60323098,0.10259154,323.8852759,,
csw1high,cs,high,32,10,100,1.571983242,0.079828038,351.306481,,
csw1high,cs,high,32,10,75,0.937271654,0.065357506,359.9349226,,
csw1high,cs,high,32,10,50,0.967675911,0.052792791,353.8814925,,
csw1high,cs,high,32,10,25,-0.195895428,0.045943034,390.6147762,,
csw1high,cs,high,32,10,0,-1.105184887,0.037960394,430.7301828,,
cs44high,cs,high,32,10,1200,8.168148408,0.229543365,313.6424584,,
cs44high,cs,high,32,10,1000,7.828152037,0.214810445,313.1640492,,
cs44high,cs,high,32,10,500,6.537076833,0.205811678,323.4132505,,
cs44high,cs,high,32,10,200,4.64916604,0.200217178,340.8172563,,
cs44high,cs,high,32,10,100,3.271198461,0.192394465,353.0909843,,
cs44high,cs,high,32,10,75,2.191299468,0.184377359,362.9256054,,
cs44high,cs,high,32,10,50,1.181125014,0.175536907,372.2712496,,
cs44high,cs,high,32,10,25,1.058190864,0.16330612,373.3534212,,
cs44high,cs,high,32,10,0,-0.873397201,0.144542046,395.5390214,,
csw7high,cs,high,32,10,1200,4.329564963,0.130939891,323.6102997,,
csw7high,cs,high,32,10,1000,4.295727331,0.107156168,312.731661,,
csw7high,cs,high,32,10,500,3.17313086,0.091232842,323.2514135,,
csw7high,cs,high,32,10,200,2.433266392,0.082796504,333.3695111,,
csw7high,cs,high,32,10,100,1.26160503,0.074520367,355.336258,,
csw7high,cs,high,32,10,75,0.987212955,0.070387347,360.5057461,,
csw7high,cs,high,32,10,50,0.65958416,0.065241856,367.201095,,
csw7high,cs,high,32,10,25,-0.082116339,0.061714243,386.3298873,,
